ACTIVITY DATE,OWNER ID,OWNER NAME,FACILITY ID,FACILITY NAME,RECORD ID,PROGRAM NAME,PROGRAM STATUS,PROGRAM ELEMENT (PE),PE DESCRIPTION,FACILITY ADDRESS,FACILITY CITY,FACILITY STATE,FACILITY ZIP,SERVICE CODE,SERVICE DESCRIPTION,SCORE,GRADE,SERIAL NUMBER,EMPLOYEE ID,Location,2011 Supervisorial District Boundaries (Official),Census Tracts 2010,Board Approved Statistical Areas,Zip Codes
08/23/2018,OW0000809,31,FA0019645,DREAM DINNERS,PR0045642,DREAM DINNERS,ACTIVE,1631,RESTAURANT (0-30) SEATS MODERATE RISK,22226 PALOS VERDES BLVD,TORRANCE,CA,90505,1,ROUTINE INSPECTION,97,A,DA2FXQNN6,EE0000126,POINT (-118.36927 33.826754),4,820,102,25719
12/06/2017,OW0000809,31,FA0019645,DREAM DINNERS,PR0045642,DREAM DINNERS,ACTIVE,1631,RESTAURANT (0-30) SEATS MODERATE RISK,22226 PALOS VERDES BLVD,TORRANCE,CA,90505,1,ROUTINE INSPECTION,95,A,DACP43IQW,EE0000126,POINT (-118.36927 33.826754),4,820,102,25719
06/23/2017,OW0000809,31,FA0019645,DREAM DINNERS,PR0045642,DREAM DINNERS,ACTIVE,1631,RESTAURANT (0-30) SEATS MODERATE RISK,22226 PALOS VERDES BLVD,TORRANCE,CA,90505,1,ROUTINE INSPECTION,96,A,DAEMVMRBY,EE0000126,POINT (-118.36927 33.826754),4,820,102,25719
03/19/2019,OW0000809,31,FA0019645,DREAM DINNERS,PR0045642,DREAM DINNERS,ACTIVE,1631,RESTAURANT (0-30) SEATS MODERATE RISK,22226 PALOS VERDES BLVD,TORRANCE,CA,90505,1,ROUTINE INSPECTION,96,A,DANER68S4,EE0000126,POINT (-118.36927 33.826754),4,820,102,25719
03/01/2018,OW0000002,#1 CAFE INC,FA0056432,#1 CAFE,PR0045100,#1 CAFE,ACTIVE,1632,RESTAURANT (0-30) SEATS HIGH RISK,2080 CENTURY PARK E STE 108,LOS ANGELES,CA,90067,1,ROUTINE INSPECTION,90,A,DACZXQ74W,EE0000015,POINT (-118.412323 34.058815),3,660,265,24032
10/18/2018,OW0000002,#1 CAFE INC,FA0056432,#1 CAFE,PR0045100,#1 CAFE,ACTIVE,1632,RESTAURANT (0-30) SEATS HIGH RISK,2080 CENTURY PARK E STE 108,LOS ANGELES,CA,90067,1,ROUTINE INSPECTION,92,A,DAI7C9HIN,EE0000015,POINT (-118.412323 34.058815),3,660,265,24032
02/09/2017,OW0000002,#1 CAFE INC,FA0056432,#1 CAFE,PR0045100,#1 CAFE,ACTIVE,1632,RESTAURANT (0-30) SEATS HIGH RISK,2080 CENTURY PARK E STE 108,LOS ANGELES,CA,90067,1,ROUTINE INSPECTION,90,A,DAJFACZWZ,EE0000015,POINT (-118.412323 34.058815),3,660,265,24032
02/26/2019,OW0000002,#1 CAFE INC,FA0056432,#1 CAFE,PR0045100,#1 CAFE,ACTIVE,1632,RESTAURANT (0-30) SEATS HIGH RISK,2080 CENTURY PARK E STE 108,LOS ANGELES,CA,90067,1,ROUTINE INSPECTION,90,A,DAJLC38XH,EE0000015,POINT (-118.412323 34.058815),3,660,265,24032
09/06/2017,OW0000002,#1 CAFE INC,FA0056432,#1 CAFE,PR0045100,#1 CAFE,ACTIVE,1632,RESTAURANT (0-30) SEATS HIGH RISK,2080 CENTURY PARK E STE 108,LOS ANGELES,CA,90067,1,ROUTINE INSPECTION,90,A,DAKGVAKK1,EE0000015,POINT (-118.412323 34.058815),3,660,265,24032
03/29/2017,OW0000010,"1 EVEN, INC.",FA0015045,CHO MAN WON,PR0021365,CHO MAN WON,INACTIVE,1635,RESTAURANT (31-60) SEATS HIGH RISK,2881 W OLYMPIC BLVD,LOS ANGELES,CA,90006,1,ROUTINE INSPECTION,90,A,DA8Y73IIR,EE0000884,POINT (-118.297235 34.052627),2,1003,372,22723
10/04/2016,OW0000010,"1 EVEN, INC.",FA0015045,CHO MAN WON,PR0021365,CHO MAN WON,INACTIVE,1635,RESTAURANT (31-60) SEATS HIGH RISK,2881 W OLYMPIC BLVD,LOS ANGELES,CA,90006,1,ROUTINE INSPECTION,90,A,DADY97Z7X,EE0000884,POINT (-118.297235 34.052627),2,1003,372,22723
02/15/2018,OW0000010,"1 EVEN, INC.",FA0015045,CHO MAN WON,PR0021365,CHO MAN WON,INACTIVE,1635,RESTAURANT (31-60) SEATS HIGH RISK,2881 W OLYMPIC BLVD,LOS ANGELES,CA,90006,1,ROUTINE INSPECTION,90,A,DASMTGAQ1,EE0000884,POINT (-118.297235 34.052627),2,1003,372,22723
11/15/2017,OW0000010,"1 EVEN, INC.",FA0015045,CHO MAN WON,PR0021365,CHO MAN WON,INACTIVE,1635,RESTAURANT (31-60) SEATS HIGH RISK,2881 W OLYMPIC BLVD,LOS ANGELES,CA,90006,1,ROUTINE INSPECTION,81,B,DAYKEKRUP,EE0000884,POINT (-118.297235 34.052627),2,1003,372,22723
12/28/2016,OW0237648,"10 RIVERSIDE DRIVE, LLC",FA0241857,LAUREL TAVERN,PR0189987,LAUREL TAVERN,ACTIVE,1638,RESTAURANT (61-150) SEATS HIGH RISK,1220 HERMOSA AVE,HERMOSA BEACH,CA,90254,1,ROUTINE INSPECTION,95,A,DA3Y2RGMJ,EE0000827,POINT (-118.400064 33.8627),4,648,310,24688
06/19/2018,OW0237648,"10 RIVERSIDE DRIVE, LLC",FA0241857,LAUREL TAVERN,PR0189987,LAUREL TAVERN,ACTIVE,1638,RESTAURANT (61-150) SEATS HIGH RISK,1220 HERMOSA AVE,HERMOSA BEACH,CA,90254,1,ROUTINE INSPECTION,93,A,DAFT3WHXQ,EE0000827,POINT (-118.400064 33.8627),4,648,310,24688
10/10/2018,OW0237648,"10 RIVERSIDE DRIVE, LLC",FA0241857,LAUREL TAVERN,PR0189987,LAUREL TAVERN,ACTIVE,1638,RESTAURANT (61-150) SEATS HIGH RISK,1220 HERMOSA AVE,HERMOSA BEACH,CA,90254,1,ROUTINE INSPECTION,97,A,DAH5G8Z0L,EE0000827,POINT (-118.400064 33.8627),4,648,310,24688
12/05/2017,OW0237648,"10 RIVERSIDE DRIVE, LLC",FA0241857,LAUREL TAVERN,PR0189987,LAUREL TAVERN,ACTIVE,1638,RESTAURANT (61-150) SEATS HIGH RISK,1220 HERMOSA AVE,HERMOSA BEACH,CA,90254,1,ROUTINE INSPECTION,95,A,DAKNU5EDV,EE0000827,POINT (-118.400064 33.8627),4,648,310,24688
05/10/2017,OW0237648,"10 RIVERSIDE DRIVE, LLC",FA0241857,LAUREL TAVERN,PR0189987,LAUREL TAVERN,ACTIVE,1638,RESTAURANT (61-150) SEATS HIGH RISK,1220 HERMOSA AVE,HERMOSA BEACH,CA,90254,1,ROUTINE INSPECTION,95,A,DALRPM9JH,EE0000827,POINT (-118.400064 33.8627),4,648,310,24688
02/13/2019,OW0237648,"10 RIVERSIDE DRIVE, LLC",FA0241857,LAUREL TAVERN,PR0189987,LAUREL TAVERN,ACTIVE,1638,RESTAURANT (61-150) SEATS HIGH RISK,1220 HERMOSA AVE,HERMOSA BEACH,CA,90254,1,ROUTINE INSPECTION,90,A,DAOYJRIQ2,EE0000827,POINT (-118.400064 33.8627),4,648,310,24688
08/23/2018,OW0254261,"10 SPEED COFFEE, INC.",FA0262822,10 SPEED COFFEE,PR0213623,10 SPEED COFFEE,ACTIVE,1631,RESTAURANT (0-30) SEATS MODERATE RISK,1919 SANTA&#160;MONICA BLVD # 102,SANTA&#160;MONICA,CA,90404,1,ROUTINE INSPECTION,98,A,DA2BIJ7IY,EE0000999,POINT (-118.480348 34.028415),3,441,93,25713
12/28/2018,OW0254261,"10 SPEED COFFEE, INC.",FA0262822,10 SPEED COFFEE,PR0213623,10 SPEED COFFEE,ACTIVE,1631,RESTAURANT (0-30) SEATS MODERATE RISK,1919 SANTA&#160;MONICA BLVD # 102,SANTA&#160;MONICA,CA,90404,1,ROUTINE INSPECTION,96,A,DAF0UQXRH,EE0000999,POINT (-118.480348 34.028415),3,441,93,25713
07/05/2017,OW0123940,10-E LLC,FA0158893,10 - E,PR0146972,10 - E,ACTIVE,1638,RESTAURANT (61-150) SEATS HIGH RISK,811 W 7TH ST,LOS ANGELES,CA,90017,1,ROUTINE INSPECTION,93,A,DA1HW0SXT,EE0001110,POINT (-118.258878 34.04877),1,709,343,23078
10/19/2016,OW0123940,10-E LLC,FA0158893,10 - E,PR0146972,10 - E,ACTIVE,1638,RESTAURANT (61-150) SEATS HIGH RISK,811 W 7TH ST,LOS ANGELES,CA,90017,1,ROUTINE INSPECTION,95,A,DA3QBCPMJ,EE0001110,POINT (-118.258878 34.04877),1,709,343,23078
06/12/2018,OW0123940,10-E LLC,FA0158893,10 - E,PR0146972,10 - E,ACTIVE,1638,RESTAURANT (61-150) SEATS HIGH RISK,811 W 7TH ST,LOS ANGELES,CA,90017,1,ROUTINE INSPECTION,90,A,DAAM5AYRC,EE0001110,POINT (-118.258878 34.04877),1,709,343,23078
10/04/2018,OW0123940,10-E LLC,FA0158893,10 - E,PR0146972,10 - E,ACTIVE,1638,RESTAURANT (61-150) SEATS HIGH RISK,811 W 7TH ST,LOS ANGELES,CA,90017,1,ROUTINE INSPECTION,98,A,DADQ7YCD1,EE0001110,POINT (-118.258878 34.04877),1,709,343,23078
02/01/2018,OW0123940,10-E LLC,FA0158893,10 - E,PR0146972,10 - E,ACTIVE,1638,RESTAURANT (61-150) SEATS HIGH RISK,811 W 7TH ST,LOS ANGELES,CA,90017,1,ROUTINE INSPECTION,93,A,DAH6UNR7C,EE0001110,POINT (-118.258878 34.04877),1,709,343,23078
03/21/2019,OW0123940,10-E LLC,FA0158893,10 - E,PR0146972,10 - E,ACTIVE,1638,RESTAURANT (61-150) SEATS HIGH RISK,811 W 7TH ST,LOS ANGELES,CA,90017,1,ROUTINE INSPECTION,95,A,DAIOP0GOJ,EE0001110,POINT (-118.258878 34.04877),1,709,343,23078
04/19/2017,OW0123940,10-E LLC,FA0158893,10 - E,PR0146972,10 - E,ACTIVE,1638,RESTAURANT (61-150) SEATS HIGH RISK,811 W 7TH ST,LOS ANGELES,CA,90017,1,ROUTINE INSPECTION,91,A,DAXZOSKCF,EE0001110,POINT (-118.258878 34.04877),1,709,343,23078
05/09/2017,OW0240096,1000 GROUP LLC,FA0244948,LOBBY CAFE BAR,PR0193300,LOBBY CAFE BAR,ACTIVE,1635,RESTAURANT (31-60) SEATS HIGH RISK,1000 WILSHIRE BLVD,LOS ANGELES,CA,90017,1,ROUTINE INSPECTION,94,A,DA03Q1XWS,EE0001110,POINT (-118.260702 34.051046),1,709,343,23078
